boro_cd,median_household_income,income_category,total_registered_voters,votes_candidate,votes_opponent,turnout_rate,gotv_doors_knocked,candidate_hours_spent
101,135420,High,45897,10295,25999,79.08,465,24
102,118650,High,45730,11619,26854,84.13,138,28
103,98340,Middle,42609,8559,9821,43.14,382,3
104,142890,High,42984,10424,24599,81.48,601,18
105,126730,High,36587,7365,21907,80.01,365,23
106,108920,High,49906,12351,29178,83.21,108,18
107,72450,Middle,30820,6697,8206,48.36,395,1
108,89560,Middle,37190,6837,9241,43.23,626,2
109,43820,Low,41101,13868,9776,57.53,7940,8
110,38670,Low,36020,13018,8626,60.09,7505,10
111,41230,Low,39503,14827,10781,64.83,5724,8
112,46890,Low,42815,14290,10431,57.74,6419,15
201,34560,Low,43950,15206,10772,59.11,6275,14
202,38920,Low,31325,10613,7900,59.1,7792,10
203,42180,Low,40410,15444,10319,63.75,7294,12
204,36450,Low,31348,10046,7388,55.62,6451,14
205,39870,Low,32090,11045,8030,59.44,7351,15
206,45320,Low,35863,13629,9530,64.58,6432,12
207,48750,Low,35030,12427,9488,62.56,6340,15
208,67890,Middle,31897,5616,7532,41.22,339,1
209,41560,Low,42691,14480,9925,57.17,5681,11
210,44230,Low,38084,13907,10223,63.36,7053,13
211,38940,Low,30366,11231,7510,61.72,6505,12
212,37120,Low,45401,16209,11719,61.51,5652,11
301,89450,Middle,47929,12592,8961,44.97,791,1
302,112340,High,35199,7929,20614,81.09,464,24
303,42890,Low,40473,13553,9771,57.63,7930,8
304,38760,Low,32710,12216,9006,64.88,7889,14
305,46320,Low,45820,16557,12756,63.97,7753,14
306,78940,Middle,48585,10577,8857,40,980,3
307,71230,Middle,35825,7037,10518,49,448,1
308,44650,Low,47255,17343,12326,62.79,7213,13
309,39870,Low,38881,14071,10121,62.22,7203,15
310,52340,Middle,42290,10874,7462,43.36,792,1
311,68920,Middle,45503,10698,7993,41.08,762,3
312,41230,Low,48560,18775,12482,64.37,6594,8
313,37560,Low,48782,17687,12857,62.61,7846,13
314,55670,Middle,35695,7192,8350,43.54,560,1
315,43980,Low,46418,16511,10947,59.15,7732,14
316,39120,Low,47519,15451,11688,57.11,7105,15
317,48760,Low,39423,12979,8990,55.73,5603,15
318,62340,Middle,31835,7959,5964,43.74,940,2
401,94560,Middle,38474,6353,9475,41.14,277,3
402,73280,Middle,42268,8536,12567,49.93,612,2
403,58940,Middle,35909,10267,7550,49.62,894,2
404,66780,Middle,35232,6838,7497,40.69,474,3
405,81230,Middle,34787,8288,9045,49.83,620,3
406,118670,High,43130,9938,25891,83.07,139,21
407,87450,Middle,38630,7550,10667,47.16,401,2
408,76890,Middle,34289,7632,8485,47,259,3
409,69340,Middle,32245,8569,6738,47.47,673,1
410,54670,Middle,46827,9930,8595,39.56,984,1
411,108920,High,34867,7844,19007,77.01,309,25
412,62180,Middle,44211,10702,9476,45.64,722,2
413,71560,Middle,35572,8558,6915,43.5,815,2
414,45320,Low,36202,12235,8720,57.88,7114,11
501,82340,Middle,39889,8564,9896,46.28,516,1
502,91780,Middle,43572,9083,12697,49.99,396,3
503,103450,High,42572,11389,24764,84.92,467,24
